Departamento,antioquia,arauca,atlantico,bolivar,boyaca,casanare,cauca,cesar,cordoba,cundinamarca,departamento nn,huila,magdalena,meta,nariño,norte de santander,putumayo,santander,sucre,tolima,vichada,caqueta,nd
Enero_2013,28894.967741935485,69961.12903225806,0,14889.677419354837,41328.48387096774,170170.6129032258,1029.3548387096773,4595.580645161292,0.0,1024.8064516129032,0,34781.6129032258,0.0,514280.1935483872,282.3870967741935,3017.5806451612907,43546.90322580644,55219.19354838709,31.225806451612907,29430.67741935484,174.1612903225806,0,2658.6451612903224
Febrero_2013,28073.285714285717,46121.75000000001,0,15669.249999999996,41432.178571428565,168588.60714285713,948.6071428571429,4191.964285714286,0.0,881.2142857142857,0,34961.17857142857,26.5,521262.60714285716,395.0714285714286,3051.5714285714284,45713.82142857142,54597.14285714285,28.60714285714285,28951.714285714283,172.4642857142857,0,2387.892857142858
Marzo_2013,28281.516129032258,64630.51612903225,0,15603.000000000002,42844.96774193548,171938.16129032258,707.1935483870968,4687.322580645161,0.0,782.6774193548388,0,34244.967741935485,0.0,519619.2258064517,433.8064516129032,2969.193548387097,43986.67741935484,53299.54838709677,28.0,27225.387096774193,170.3870967741935,0,1219.8387096774193
Abril_2013,29040.433333333334,73428.63333333335,0,15353.100000000002,42614.066666666666,174439.5333333333,754.2,4729.666666666666,0.0,739.2333333333333,0,34787.13333333333,0.0,500417.99999999994,463.9666666666666,2907.633333333333,47915.96666666667,54287.76666666667,23.63333333333333,26894.166666666675,174.7333333333333,0,2414.566666666667
Mayo_2013,28926.451612903224,72525.80645161291,0,15439.258064516123,41902.87096774194,173514.93548387097,881.2258064516127,5114.548387096774,0.0,734.7419354838709,0,34141.58064516129,1.225806451612903,509995.5483870968,482.5806451612903,2882.8387096774195,50823.161290322576,53425.8064516129,23.48387096774194,26032.74193548388,148.3870967741935,0,1566.0645161290327
Junio_2013,28956.066666666662,29973.1,0,15987.600000000004,41473.8,182114.06666666665,873.5333333333333,3927.5666666666675,0.0,759.4666666666667,0,33644.8,1.6,504961.9333333334,492.6,1752.9333333333334,51511.93333333335,53519.0,20.966666666666665,26087.266666666663,165.7333333333333,0,2000.4666666666667
Julio_2013,27446.451612903227,63647.93548387097,0,16169.451612903222,42048.93548387097,181453.45161290324,858.6129032258066,4063.25806451613,0.0,706.1290322580646,0,34563.61290322581,1.516129032258065,514264.7419354839,517.258064516129,600.7096774193548,54436.58064516128,53403.77419354839,15.7741935483871,25946.935483870966,154.5806451612903,0,2409.096774193548
Agosto_2013,26951.67741935484,72354.87096774195,0,16361.225806451614,42678.258064516136,176796.3548387097,792.032258064516,4079.322580645161,0.0,784.6129032258065,0,35240.032258064515,0.0,526291.258064516,329.3548387096774,2027.5483870967737,46497.967741935485,55414.74193548388,22.677419354838715,25376.1935483871,61.09677419354838,0,1322.419354838709
Septiembre_2013,28333.6,61636.799999999996,0,16141.333333333328,43074.73333333332,177511.13333333336,786.4333333333334,4278.733333333334,0.0,741.5333333333333,0,35774.4,0.0,506680.8333333333,318.2333333333333,1694.5,43128.7,54625.633333333324,22.133333333333336,24846.76666666667,0.0,0,185.20000000000005
Octubre_2013,27795.838709677424,37978.93548387096,0,15119.548387096773,42929.87096774194,181359.80645161294,867.2258064516129,4353.290322580646,0.0,607.1935483870968,0,33892.6129032258,0.0,504007.9032258064,483.7096774193548,1807.6774193548388,52458.48387096774,56594.3870967742,29.064516129032253,23779.451612903216,0.0,0,2200.4193548387093
