Contrato,operacion directa ecopetrol,nare asociacion,casabe,chipiron,cravo norte,cosecha,rondon,arauca,capachos,contrato de exploracion y produccion sinu san jacinto norte 1,yarigui cantagallo,cicuco,buenavista,palagua,guaguaqui teran,vmm 11,e&p llanos 22,cusiana norte,ecop sdla op directa,recetor equion,e&p llanos 26,casanare,puntero,alcaravan,los hatos,morichito,convenio de explotacion de hidrocarburos del area de operacion directa la punta,upia ecopetrol,campo rico,entrerrios,casimena,e&p llanos 32,canaguaro e&p 016 del 2006,niscota,dorotea,rancho hermoso acuerdo part casanare,rancho hermoso acuerdo part casanare canacol,e&p llanos 23,cachicamo 026 22008,cravoviejo,altair,lla 47,e & p moriche,nashira,estero,garcero,orocue,oropendola perenco,casanare este,mapache,cdndi la punta,yamu,la cuerva,leona,e&e arrendajo,e&p llanos 40,jagueyes,e&p llanos 34,e&p llanos 16 contrato # 45,e&e cubiro,e&p llanos 30,e&p los ocarros parex,corocora,garibay,tiple,rio chitamena,tauramena,guachiria,guachiria sur,yalea,cabrestero parex,corcel,cee rio verde,piedemonte equion,santana ecopetrol,guayuyaco,santana gt,e&p santa isabel,vmm2 canacol,operacion directa lebrija,contrato e&p n° 39 de 2009 vmm,e&p midas,tisquirama b,vmm3 adicional,tisquirama c,esperanza,dindal rio seco,bocachico,puli hocol,ombu,palermo ecopetrol, convenio de explotacion pijao potrerillo,huila 35,matambo,tello,caguan ecopetrol,san jacinto,rio paez,hobo ecopetrol,el dificil,e&p guama,cubarral,cpo 9,cpo 5,cerrero,guatiquia,cpo 07,caracara,rubiales ecopetrol,caño sur e&p,e&e guarrojo,cpe 6,e&p sabanero,quifa,cabiona,cpo 13,rio ariari,llanos 66,almagro_ecopetrol,valdivia ecopetrol,e&p llanos 58,valdivia almagro ih,llanos 33,cdnd camoa _ecopetrol,cpo 11,apiay,orito,zulia,pavas cachira,bloque carbonera,barco,chaza,put 7,platanillo,cpi sur oriente,put 1,de mares,convenio de explotacion la cira infantas,las quinchas,opon,toca,yarigui garzas,e&p fenix,playon,provincia p norte,e&p la paloma,cristalina,provincia p sur,el piñal,las monas,convenio de explotacion lisama nutria,la creciente,e&p saman,armero hocol,tolima b hocol,abanico,guasimo,boqueron,cpi ortega otrosi 1,ambrosia,mana,rio opia,espinal hocol,chenche hocol,maranta,cp0 9,alto magdalena,apiay incremental,barrancas lebrija,provincia,provincia incremental,alto magdalena incremental,contrato de exploracion y produccion n° 54 de 2008 sinu –san jacinto norte bloqu,ecop op directa,palagua incremental,orito incremental,casabe incremental,cubarral incremental,chenche cdnd i ecopetrol,ciriguelo,cuerva,convenio e&e cuisinde,ecop sdla op directa incremental,rio chitamena equion,tauramena equion,cpo 10,e&p llanos 27,las garzas,hoatzin,la cira infantas incremental,la punta cdnd i vetra,el eden parex,la punta cdnd i,e&p llanos 19,libertad reforma incremental,convenio expl hidrocar aod lisama nutria,santana,espinal,mirto e&p,valle medio del magdalena vmm2,"cdnd i nancy, burdine, maxine",cpi ortega,ortega,ortega hocol,pijao potrerillo,puli 109,quebrada roja,convenio exploracion area occidental,tolima b ecopetrol,gonzalez,piriri,rubiales,tisquirama c incremental,tisquirama a,tello ecp anh incremental,barco incremental,puli,armero ecopetrol,turpial,yarigui cantagallo incremental,nare,magdalena medio,vmm 12,ssjn 1,cicuco boquete,el remanso,condor,durillo,lla 22,recetor,lla 26,upia,lla 27,rio meta,canaguaro,lla 23,cachicamo,moriche,oropendola,arrendajo,lla 40,jagueyes 3432 b,lla 34,lla 16,cubiro,lla 30,los ocarros,lla 25,lla 32,cabrestero,piedemonte,rio verde,santa isabel,vmm 2,lebrija,bolivar,vmm 1,fortuna,midas,vim 8,vmm 32,dindal,palermo,caguan,campos tello y la jagua,santa clara,hobo,cpo 7,caño sur,e&p sabanero metapetroleum,guarrojo,lla 58,lla 65,rio zulia,pavas,carbonera,tibu,nancy burdine maxine,suroriente,la cira infantas,la paloma,carare las monas,saman,armero,tolima,chenche,teca cocorna,la punta,rancho hermoso,tapir,lla 61,lla 31,merecure,tisquirama,huila,guama,cpe 5,cpe 7,sabanero,valdivia almagro,area occidental,nororiente,area sur,convenio boranda,lisama nutria,aguas blancas,toy,balay,vim 1,boranda,toldado,llanos 30,cocorna,suria,el balay,llanos 32,barranca lebrija cdnd,sierra nevada,neiva,ermitaño,llanos 21,camoa,castor,carbonera la silla,castilla,llanos 17,clarinero,coati,cpi suroriente,llanos 20,operacion directa cupiagua,el porton,rio chitamena tauramena,buganviles,cpo 17,entrerrios cdndci,area rio ceibas,fenix,llanos 27,llanos 16,el eden,cee la jagua,la punta cdndci,la rompida,llanos 23,llanos 58,mansoya,llanos 34,vmm2,morpho,pacande,cpo 6,llanos 22,rancho hermoso cdndci,tolima b,piriri rubiales,upia b,surimena,cee tello,lomalarga pijao,cuisinde,llanos 19,area yaguara,e&p el balay,contrato de colaboracion empresarial campo area teca – cocorna entre ecopetrol s,piedemeonte equion incremental,pijao potrerillo incremental,el dificil incremental,rubiales ecopetrol incremental,convenio
2013,0.0,0.0,273334.2091397849,38840.08740399386,440201.86359447014,58933.41497695852,182546.10384024575,1876.5543778801841,0.0,0.0,0.0,0.0,17127.228648233486,75192.49784946238,40493.7113671275,0.0,0.0,66999.60560675884,0.0,0.0,0.0,92775.34554531489,5893.806451612903,2707.1696620583716,382.58986175115206,0.0,0.0,0.0,35460.751843317965,0.0,44360.687403993856,0.0,0.0,794.8655913978496,97928.39331797235,0.0,0.0,0.0,0.0,114521.11689708143,2035.983256528418,0.0,0.0,12748.28678955453,7572.992089093703,38410.80268817204,21709.491013824885,0.0,30131.176344086016,4893.732411674347,0.0,10303.341551459293,23443.626651305683,6278.5821812596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28290.44316436252,14132.492165898617,12543.643241167434,0.0,0.0,6785.00084485407,6473.225883256529,14495.86751152074,0.0,58655.73179723502,9782.509139784946,0.0,0.0,19007.285023041473,0.0,0.0,0.0,0.0,0.0,0.0,15585.075652841782,0.0,28627.34370199693,13.03225806451613,6970.487941628266,321.1129032258064,0.0,22501.460829493088,0.0,0.0,0.0,10938.149001536098,0.0,0.0,21354.878878648233,18907.118894009214,0.0,0.0,0.0,1403514.441628264,29442.97864823349,19.53333333333333,0.0,79858.43218125959,0.0,221168.6904761905,0.0,0.0,0.0,149.4193548387097,0.0,706442.7802611367,9162.70783410138,1804.9290322580644,1886.0374807987712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0322580645161,264619.6111367128,98233.36743471581,6395.717050691245,0.0,0.0,20873.58732718894,271251.64846390166,0.0,56670.41013824885,0.0,0.0,220296.66021505374,0.0,426.2430107526882,228.36359447004608,586.5836405529955,185174.91313364054,0.0,1271.0806451612905,0.0,0.0,1440.0745775729645,0.0,784.5428571428572,42176.43794162827,0.0,286.8942396313364,0.0,0.0,0.0,13731.54877112135,44.943010752688174,147527.896390169,0.0,441.81405529953923,13729.542396313363,748.6827188940092,0.0,0.0,5125.688479262672,0.0,420.29462365591405,0.0,0.0,52108.40783410139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.55414746543778,0.0,1428.126651305683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6968.285714285714,96498.99278033795,0.0,0.0,0.0,0.0,6585.06267281106,0.0,26848.869278033795,0.0,0.345468509984639,0.0,0.0,0.0,0.0,0.0,0.0,4315.440092165899,0.0,0.0,8088.196236559139,0.0,17.051612903225806,0.0,417538.1036866359,0.0,0.0,0.0,9452.919124423963,0.0,487.60537634408604,0.0,0.0,74316.04976958525,0.0,0.0,0.0,0.0,2476.079032258064,0.0,32647.996697388626,396.1408602150538,7403.339554531491,21065.97142857143,0.0,333.84086021505374,0.0,0.0,106190.65384024578,0.0,126314.7019201229,0.0,0.0,5743.617434715821,313209.34162826417,0.0,694.8236559139787,0.0,366.50360983102917,222.64715821812598,0.0,937.1480030721964,8699.474884792626,0.0,0.0,0.0,99360.29262672811,17577.240245775727,0.0,0.0,0.0,13208.263901689708,11836.721505376347,0.0,193506.70606758833,0.0,0.0,0.0,755.1698924731182,22.817204301075268,0.0,2533.218509984639,0.0,328312.47027649777,7394.787403993856,0.0,6.258064516129032,508.92427035330263,0.0,103.81221198156683,0.0,0.0,0.0,192.95384024577572,0.0,0.0,0.0,0.0,2800.230414746544,26.5,0.0,0.0,13230.224577572963,0.0,1655.9685867895546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9905.022580645162,5570.194623655914,17666.882642089095,724.0154377880185,11916.872734254994,21625.817050691243,125.42926267281106,4.341935483870968,119730.16635944703,5960.922580645161,6.064516129032258,490.36374807987715,560.1798771121352,238.42296466973886,588645.0468509984,1624.9139784946235,2.483870967741935,27.86666666666667,125082.5520737327,6476.320046082949,215706.0989247312,38.87096774193548,84798.7960829493,145.67941628264208,238.83225806451614,3389.542626728111,220.54224270353302,13.03663594470046,3698.6242703533026,61305.81820276499,832.0622119815669,570.1744239631336,53970.02112135177,76.20107526881719,36068.42411674348,18496.33655913978,4977.860522273426,91163.72158218126,2237.967741935484,480.2225806451613,8821.883794162826,94.38709677419355,7482.930107526881,86132.2361751152,3171.6414746543783,2505238.215591398,17147.61029185868,3164.858064516129,60588.16182795698,2532.98801843318,113.4516129032258,2344.349078341014,32785.9975422427,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,14012.126267281104,59415.89062980031,0.0,1865.9769585253457,283132.06728110596,15447.673041474653,67966.20399385561,1805.100307219662,0.0,0.0,0.0,724.7479262672812,498.2768817204301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7710.791090629799,0.0,528.6146697388633,0.0,0.0,0.0,0.0,7135.6026881720445,0.0,0.0,4968.212980030722,8235.921505376344,0.0,0.0,0.0,0.0,0.0,2985.46728110599,11408.797542242703,1207.0079109062979,0.0,0.0,842.0100614439324,2030.7322580645164,132.0193548387097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12021.234792626728,1799.6021505376343,1296.234946236559,3463.54623655914,0.0,1950.1706605222735,7621.942319508449,0.0,3842.9514592933947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11199.966205837174,38.42933947772658,766.026420890937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19880.76390168971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15714.575806451612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30133.000537634405,13684.67434715822,0.0,0.0,997.2483870967741,0.0,0.0,0.0,30561.02895545315,9010.679262672811,0.0,0.0,0.0,3222.362135176652,0.0,0.0,0.0,0.0,43.13548387096773,0.0,0.0,25213.62680491551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.518356374808,0.0,308.96751152073733,0.0,0.0,0.0,0.0,593.0139784946236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1290322580645161,0.0,0.0,0.0,10507.203609831033,0.0,0.0,0.0,394.28348694316435,0.0,0.0,0.0,0.0,1951.248079877112,76449.32757296467,22568.897772657452,59174.274884792634,105.42150537634407,0.0,11604.184869431645,0.0,0.0,5657.806605222734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,719.4406298003071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.35483870967742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.903225806451612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.015668202764978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3295.5026113671274,0.0,0.0,0.0,0.0,0.0,0.0
2015,15896.496466973887,439229.4996159754,72893.93341013824,149040.85537634406,345536.655453149,44467.06251920122,105675.25276497696,2226.5413210445467,0.0,0.0,51786.99892473118,8721.195391705069,14333.519508448542,17366.21827956989,44594.714592933946,0.0,19437.248233486942,28060.4980030722,106782.38640552995,61676.90721966206,15183.035483870968,82262.19493087557,20449.661059907834,1358.5277265745008,0.0,1643.0367895545314,0.0,12186.771658986176,34074.32964669739,12216.43932411674,60300.5529953917,76489.2702764977,18804.029493087557,0.0,49240.99470046083,0.0,11398.219738863289,49356.103993855606,21050.537403993858,72421.66144393242,1029.8384792626728,0.0,13735.184254992319,11816.344623655912,5481.274423963135,27652.02603686636,14086.963056835637,6214.5924731182795,13190.991935483871,257.9529953917051,36013.02357910907,1368.7349462365592,0.0,5571.378494623656,41398.07012288787,36810.68049155145,219.6129032258065,318153.256374808,8672.46835637481,122874.61029185867,8489.87242703533,40675.408602150535,18647.247235023042,14597.47895545315,11079.899923195084,0.0,0.0,0.0,350.3548387096774,11231.163824884794,27477.765975422433,53090.95238095238,7701.063056835638,435829.02803379414,3148.6655913978493,13777.787480798772,0.0,2770.562288786482,336.7096774193548,365.3429339477727,0.0,63998.41052227342,11861.573041474652,0.0,14308.871351766513,21.757757296466973,3153.197619047619,428.24738863287246,1150.0354838709677,7714.49539170507,87899.67933947772,0.0,0.0,203.3225806451613,19244.51459293395,17101.044930875578,24992.2975422427,13294.711827956991,26310.004761904762,1352.1416282642087,493.06136712749617,845423.5455453149,0.0,1.741935483870968,1002.8663594470046,192632.83632872504,9271.71966205837,213622.3467741936,0.0,20868.65568356375,206843.0619047619,14206.76321044547,15130.678110599081,710103.1690983103,11912.330491551462,11952.692089093702,5609.695929339477,0.0,4337.109523809524,2885.9545314900156,48646.69631336406,0.0,0.0,520.4491551459294,0.0,5382.3433947772655,79005.99024577573,6009.773579109063,649.8858678955453,4.231797235023041,14204.262980030722,242025.41336405533,0.0,53255.758218125964,111876.51958525345,0.0,135825.13540706603,0.0,308.1152073732719,597.2723502304148,267.05775729646695,4028.043625192012,18.47757296466974,5547.617665130568,0.0,4668.316513056836,1559.5658218125957,0.0,543.2816436251919,31208.544546850997,0.0,256.20737327188937,0.0,125.24731182795698,307.3720430107527,9371.028801843318,38.056605222734255,141518.74531490018,0.0,412.0668970814132,12366.745161290322,681.623425499232,8196.754838709678,113.47634408602151,577.6973886328725,77245.94892473117,79348.672734255,437835.77849462366,35.84884792626728,61265.40115207373,16489.5980030722,52506.06359447005,114.84347158218125,9.0,69056.42043010754,25313.819278033796,189892.36889400918,1304799.6473886329,606.8743471582181,3145.937480798771,4621.393548387096,152.66559139784948,53014.601075268816,23484.68993855607,37767.15207373272,505.4792626728111,5179.753686635944,78.25806451612904,2002.1457757296466,437010.45514592924,12393.742012288789,4122.506912442397,5039.854838709677,2651.375499231951,1424.4731950844853,535.610752688172,4617.028801843318,43525.54462365592,1675.1612903225807,6824.278801843318,1831.8511520737327,5568.687557603686,11182.547695852536,251.7,1182.379569892473,896.5507680491551,0.39831029185867894,122.34838709677419,1886.22910906298,549.2150537634409,467567.0916282642,1496382.2686635945,22668.791321044544,3594.3194316436256,38048.48110599078,25031.893471582185,5710.860138248849,603.9288786482334,721.2215053763441,162222.43740399386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,4853.78020022247,375262.2446310716,65355.74664441973,135304.32951427513,319351.6134593993,38366.266629588434,82910.88824619948,400.3993325917686,0.0,393.5997404523544,45701.0,9159.49877641824,7819.878754171302,16329.064516129032,38199.499814608826,0.0,23376.138375973303,20183.22432332221,85572.54063774565,57298.96040044493,52571.6355209492,53139.24278828328,10228.634556915089,1195.1018168335186,0.0,871.6374860956619,0.0,11135.942936596219,14321.491434927699,8867.442343344457,44897.73248053393,23585.0850945495,14168.193585465331,0.0,34419.97089358547,1477.9032258064517,17914.076492398963,21800.94360400445,18053.074527252502,51917.97141268075,748.1126807563959,0.0,17788.720430107525,12781.161549870225,2911.4170189099,28123.302150537635,10871.722395253986,3998.953207267334,7003.7941416388585,1.193548387096774,18144.31601779755,80.74193548387096,4613.802150537635,3771.0820912124586,37573.33629959214,13729.218131256954,0.0,395936.9538746756,2171.340934371524,70371.51516499816,12883.711605487575,20997.52884686689,37964.44827586207,10638.36837226548,9197.436410826846,33192.30051909529,31769.314015572854,2.903225806451613,2009.3043010752688,8062.668854282536,33466.8914349277,25221.144382647388,9421.917760474602,437780.6372636262,7620.228698553949,12254.536002966259,0.0,2030.3243233222097,339.9399332591769,325.4848350018539,244.92258064516125,63580.342899517986,9853.675565443085,0.0,12766.297256210602,22.740415276232852,2976.3289210233593,315.56129032258065,5922.575973303671,103.1021505376344,76410.5717834631,0.0,861.3080459770116,0.0,17169.157879124952,16424.861883574344,19178.962402669637,11344.871931776046,22707.61520207638,1637.0315906562846,604.3465331850203,475987.53503893217,18352.556136447907,85.91290322580645,373.6215053763441,197448.38828327772,7083.660066740824,183565.41787170933,728467.2333333333,5457.952465702633,161239.14909158324,11436.40329996292,10275.484983314793,588528.757730812,11133.71167964405,12076.249462365591,208.5161290322581,0.0,2828.688913607713,2912.8844271412686,33803.14215795328,0.0,0.0,596.1580645161291,0.0,0.0,78095.80537634407,5492.61190211346,616.4565072302559,0.0,12868.463515016685,234833.53344827588,605.2978494623657,36901.97645532073,63362.22117167224,0.0,122075.6832035595,0.0,42.48609566184649,419.9316277345198,29.17241379310345,2304.2950685947353,19.290915832406377,3782.751612903226,0.0,4208.332628846867,1326.4175009269557,0.0,701.2124582869856,27323.473451983682,312.96774193548384,237.30700778642938,0.0,912.8296996662958,2132.5848720800886,9747.31182795699,10.896551724137932,117749.27697441603,0.0,392.50100111234707,9384.871523915463,532.3763440860216,40047.123841305154,605.2212829069335,0.0,0.0,0.0,164424.46403411197,0.0,45284.33411197628,23625.088802373008,0.0,0.0,0.0,63550.16392287727,24690.66403411198,148506.59332591767,1868999.7179087875,0.0,0.0,0.0,0.0,50365.01156840935,0.0,0.0,0.0,0.0,0.0,0.0,394819.61186503514,4598.0505005561745,1477.0248794957358,4118.8,0.8620689655172413,235.83426028921025,0.0,0.0,0.0,19.180645161290325,0.0,0.0,0.0,0.0,0.0,68396.1156470152,0.0,0.13118279569892471,0.0,0.0,41.25806451612903,179709.2492769744,682197.4141268076,25382.576418242497,806.2191323692992,39427.397182054134,22989.61572117167,0.0,0.0,0.0,154026.03552094917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.34408602150538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26857.921319985177,60176.55806451613,50913.210975157584,246.28602150537637,5008.666666666667,200.38194289951798
2017,17429.073109062978,328238.42607987707,190780.7666666667,144679.38832565286,277070.1474654377,32463.352995391702,81867.6400921659,12.65852688172043,1800.1494623655913,871.836841781874,174366.44601843317,8950.590745007681,3879.1870691244235,78173.36158986174,38711.53662519201,160.8516129032258,25807.201933947777,18468.026497695857,110795.7128264209,52032.18187403995,36909.311751152076,41240.81056528418,2684.6693855606763,8438.607843317972,516.3106835637481,563.1820921658987,5714.409969278034,8395.64232718894,18107.602887864825,8674.981921658986,31087.953869431647,16250.78632872504,8116.911995391705,8437.136559139784,27018.598596006144,14996.471806451613,7372.354070660524,13837.513620583715,14281.55260215054,35840.680073732714,573.7923271889401,2232.376989247312,19883.872703533023,12457.73104454685,6193.573416282642,27816.958059907833,16921.902192012287,3835.4347496159753,4774.013926267281,1781.6256559139786,18345.194239631335,3483.2236021505378,7021.448881720431,3178.470288786483,22329.077391705076,7647.408218125961,1589.565956989247,550936.1083333334,1051.3454685099846,56750.51751305684,7248.200384024578,10298.665898617512,39637.6616344086,6142.214546850998,5704.051677419355,25896.612442396312,25169.85115207373,622.3739462365592,8829.710288786482,8942.450990783409,46954.93379416283,27131.183245775726,27805.663969278037,480844.42826420895,2031.2711213517664,11583.032181259598,3408.9864086021507,1842.0406052227345,2831.001580645161,216.28241167434714,439.8607588325653,121824.4346528418,9475.550032258063,65.43428571428572,33135.014800307225,17.849534562211982,2092.8846451612903,275.68244546850997,6511.158476190476,121.9348387096774,69555.30260215054,107876.05872657448,874.6882073732719,126.82514285714285,57257.374758832564,13339.727798771119,18757.881413210445,10968.522196620585,23682.48574039938,2696.9918955453145,231.0672964669739,2215271.647236559,67144.42088632872,4273.517311827956,323.2119815668202,198548.67529646697,6135.220105990784,178564.2050952381,1424726.7893625193,17012.288857142856,161668.7176451613,14516.344416282644,2634.076267281106,564035.5023195083,10092.694238095239,14073.534847926267,20.64903225806452,8.310645161290322,579.0482181259601,1179.2820737327188,25476.237431643625,2937.400483870968,49.99633333333334,157.87580491551464,1178.0129032258064,153062.39395852538,84594.21878801842,5012.294353302612,634.7325652841782,2.5866190476190476,31907.256185867896,192632.51130875575,7794.679723502306,57025.79956067588,76669.726609831,10318.20001075269,59253.840933947766,475685.29449001537,234.20188172043007,321.62227035330267,411.9847158218127,879.4440107526882,13.199213517665132,4669.1031781874035,25905.37226267281,3560.7233241167432,891.8977419354839,35100.45348387097,681.5757818740399,24039.874631336403,15253.572591397851,102.20926267281106,367.3625960061444,174.45421044546853,2464.327880184332,8523.511443932412,15.054096774193546,118143.37339938556,13357.766852534563,406.17584485407065,7947.24544546851,441.4980230414746,33535.87367127497,615.9088325652842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
