Empresa,ecopetrol,mansarovar energy colombia ltd,occidental de colombia inc,parex resources colombia,lewis energy colombia,union temporal omega energy,cepsa colombia sa cepcolsa,equion energia ltd,perenco colombia limited,colombia energy development,dcx sas,hocol sa,emerald energy de colombia plc,petroleos sudamericanos,frontera energy,verano energy (barbados) limited,new granada energy co,canacol energy colombia sas,cne oil and gas sas,grupo c&c energia (barbados) sucursal colombia,interoil colombia exploration and production,las quinchas resource corp,oiru corporation,vetra exploracion y produccion colombia sas,geopark colombia pn sa,pacific stratus energy,tabasco oil company,gran tierra energy colombia ltd,petroleos del norte sa,union temporal midas,conocophillips colombia ventures limited,geoproduction oil & gas company,cinco ranch petroleum colombia inc sucursal colombia,ongc videsh limited,tecpetrol colombia sas,bc exploracion y produccion de hidrocarburos sl,hupecol llc,iberoamericana de hidrocarburos cq exploracion y produccion sas,wattle petroleum company sas,amerisur exploracion colombia,gas petroleo y derivados de colombia sas petrocolombia sas,petrosantander (colombia) inc,kappa resources colombia ltd,sogomy energy,meta petroleum,alange energy,petrominerales colombia ltd,nikoil energy corp,cepsa colombia sa,p1 energy delta corp,well logging,petrotesting colombia sa,santa maria petroleum inc,sipetrol sa,union temporal moriche ( pacific stratus energy),exxon mobil,petropuli ltda,union temporal ii&b,compañia operadora petrocolombia sas copp,consorcio campos de produccion,turkish petroleum international company,maurel & prom colombia bv,panatlantic colombia ltd sucursal en colombia,ingenieria construcciones y equipos conequipos ing sas,comtrol colombia sa,omniaenergy inc sucursal colombia en reorganizacion,carrao energy sa sucursal colomiba,lagosur petroleum colombia inc sucursal colombia,tpl colombia ltd sucursal colombia,invepetrol limited colombia,petroleos colombianos sa,"suelopetrol, ca sucursal colombia",c&c energia,cepcolsa,petrobras colombia limited,union temporal mocan sas,petrolifera,omega energy colombia,drilling and workover services ltda,clean energy resources sa,mompos oil company inc,union temporal petrocaribe sa,nct energy group,copp sa,petrolco sa,union temporal moriche (pacific stratus energy),union temporal ijp,ut mocam
2013,4300014.662365591,458031.81505376345,721009.0751920122,202124.01098310295,16423.08479262673,17127.228648233486,0.0,473119.05307219655,210658.28156682028,13416.028725038403,0.0,254791.31405529953,74963.19815668202,0.0,0.0,0.0,3326628.2251920127,126285.02657450078,0.0,0.0,25553.14293394777,0.0,0.0,184565.99462365592,101467.06313364055,42698.267818740394,333.84086021505374,297227.2192012289,20267.01935483871,8657.509293394776,0.0,13.03225806451613,0.0,19.53333333333333,15107.580030721965,0.0,41939.963210445465,0.0,0.0,56683.44677419355,0.0,42960.980798771125,0.0,12748.28678955453,0.0,106190.65384024578,220639.12803379417,0.0,0.0,21625.817050691243,22.817204301075268,0.0,0.0,0.0,0.0,0.0,0.0,2533.218509984639,0.0,586.92910906298,0.0,13230.224577572963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150021.55192012287,266710.9003072197,255943.7619047619,125.42926267281106,21.39354838709677,6.064516129032258,490.36374807987715,2476.079032258064,238.42296466973886,7394.787403993856,3698.6242703533026,228.36359447004608,192.95384024577572,396.1408602150538,755.1698924731182,0.0
2014,238035.2342549923,59415.89062980031,368411.92127496155,20621.510675883255,0.0,498.2768817204301,8.903225806451612,0.0,15382.257603686634,1294.6410906298001,0.0,0.0,9092.205606758835,0.0,0.0,0.0,0.0,0.0,0.0,14394.264823348693,1601.291397849462,0.0,0.0,0.0,3463.54623655914,12021.363824884793,1296.234946236559,0.0,19880.76390168971,0.0,0.0,0.0,0.0,0.0,13684.67434715822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10816.17112135177,842.0100614439324,30561.02895545315,1950.1706605222735,38407.35138248848,9010.679262672811,0.0,4968.212980030722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,719.4406298003071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1629.7391705069122,0.0,17.015668202764978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.13440860215052
2015,4663989.855606758,483824.21420890937,644719.8261136713,165326.670890937,465.19831029185866,14333.519508448542,0.0,586818.2752688172,351622.61827956996,9059.590783410138,0.0,255274.657296467,44245.00629800308,13568.58095238095,0.0,44590.04731182796,0.0,18388.67718894009,45472.918509984636,98620.28210445467,20201.13410138249,0.0,0.0,85974.53440860215,324143.3848694316,44798.714362519204,219.6129032258065,260420.22964669744,84122.61950844854,0.0,0.0,21.757757296466973,428.24738863287246,1.741935483870968,21224.411751152074,0.0,48646.69631336406,0.0,0.0,53274.235791090636,0.0,31751.826190476193,9717.200614439325,11816.344623655912,2688259.2926006145,122874.61029185867,343887.01205837174,66802.96175115208,279186.63494623656,8004.290322580645,4.231797235023041,74308.75076804915,5179.753686635944,3153.197619047619,13735.184254992319,6824.278801843318,1643.0367895545314,1831.8511520737327,597.2723502304148,267.45606758832565,549.2150537634409,15130.678110599081,721.2215053763441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,5077711.589395624,413461.7444456804,575933.0978494623,137453.89974045235,0.0,7819.878754171302,0.0,598783.5698553948,263038.10478309233,10617.019577308121,649.9967741935484,241383.31909529108,14465.11831664813,10750.759955506119,0.0,23585.0850945495,1517397.3568409344,21762.2439747868,21800.94360400445,69971.04593993325,11057.861549870227,13276.817204301076,8269.387096774193,86104.58769002596,400631.49796069704,91422.54653318503,0.0,247693.3673007045,78448.57022617724,0.0,0.0,22.740415276232852,315.56129032258065,85.91290322580645,19159.909529106415,0.0,33803.14215795328,0.0,0.0,36921.26737115313,0.0,28024.685910270666,1793.4471635150167,4511.774453096032,2650.729847979236,27181.21731553578,288948.96255098254,0.0,237005.99558769003,0.0,0.0,0.0,0.0,1167.179458657768,4511.903225806451,0.0,221.64071190211348,0.0,419.9316277345198,29.303596588802375,41.25806451612903,4074.7172413793096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,5617317.78746851,366949.9627050691,536080.5288786482,112394.07857142857,10763.781835637481,3879.1870691244235,218902.3426390169,511866.75745007675,262732.1650076805,36760.582496159754,563.1820921658987,251399.53613978493,18356.362869431643,11371.9738172043,273553.8976666667,16250.78632872504,621475.68612596,27041.86806298003,13837.513620583715,50122.23267588326,11601.088629800308,20133.128682027647,12457.73104454685,95014.92084946236,561440.7808172042,87936.38290783411,1589.565956989247,293496.0778264209,46302.042417818746,20799.99739784946,65.43428571428572,17.849534562211982,275.68244546850997,4273.517311827956,20208.75495391705,58.306978494623664,26161.585711213516,4036.2742580645163,2.5866190476190476,57038.99877419354,321.62227035330267,24721.450413210445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,5633032.707740399,331847.5374493088,560703.0148233487,117994.84367895545,14399.257138248848,4520.620309523809,0.0,485507.6246827957,256015.13163671276,26626.991211213513,107.80337557603687,229860.61949923192,45520.960206605225,10067.125883256529,910231.1219316437,17571.509405529956,33171.094477726576,27759.860132872505,8095.34723655914,0.0,11292.30037403994,16122.181048387094,4869.3713548387095,101508.28120046083,737364.2726697389,0.0,2131.2040015360985,411209.24287801696,8727.874291090631,0.0,0.0,10.620723502304147,0.0,37802.75105990784,27838.943399385556,0.0,21244.629874807986,13438.20451536098,4.962634408602152,53019.530572196614,0.0,22405.707820276493,0.0,6465.4719132104465,0.0,0.0,0.0,836.4845944700462,186965.85907142863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.5892258064516,0.0,0.0,0.0,0.0,0.0967741935483871,3.2551129032258066,1391.4736344086023,4185.6992580645165,1.7693548387096776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,5735905.51,301659.94,613275.13,173661.1361935484,18020.02,3458.8499999999995,0.0,420341.4099999999,225912.99000000002,38330.869999999995,0.0,234477.57666666666,73336.95000000001,8604.880000000001,963101.3470000001,19230.559999999998,30738.93,14322.04,0.0,0.0,8634.150000000001,15487.269999999999,10357.83,82998.41,845343.0899999999,0.0,1693.1300000000003,377585.9099999999,0.0,0.0,0.0,3.01,0.0,86081.13,36487.0,0.0,13681.899999999996,17337.29,3.0400000000000005,45648.81,0.0,22300.059999999998,0.0,0.0,0.0,0.0,0.0,725.25,161759.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,757.6500000000001,0.0,0.0,0.0,0.0,0.0,0.0,4145.87,19886.629999999997,0.0,1164.3999999999999,279.37,2929.8326666666667,940.2700000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,3763143.2399999993,183301.23,409864.77,101697.10999999999,6380.75,1591.72,0.0,60326.090000000004,145227.55999999997,15189.529999999999,0.0,157134.77,36308.850000000006,3781.77,494368.05,11018.57,18415.620000000003,7349.379999999999,0.0,0.0,3642.18,7856.06,6201.7,13102.130000000001,508531.3,0.0,196.53,175323.42,0.0,0.0,0.0,2.27,0.0,58423.14,16729.86,0.0,2118.44,11595.61,0.48,21209.170000000002,0.0,13385.210000000001,0.0,0.0,0.0,0.0,0.0,217.11999999999998,87865.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,719.53,0.0,0.0,0.0,0.0,0.0,0.0,802.31,4489.089999999999,0.0,1245.2299999999998,3867.98,1504.6599999999999,711.0999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
