Departamento,antioquia,arauca,atlantico,bolivar,boyaca,casanare,cauca,cesar,cordoba,cundinamarca,departamento nn,huila,magdalena,meta,nariño,norte de santander,putumayo,santander,sucre,tolima,vichada,caqueta,nd
2013,337992.70506912435,722398.0241935484,0.0,188381.238172043,508785.34953917057,2126424.781336406,10207.094239631337,53314.5212749616,13.03225806451613,8886.196006144395,0.0,414748.5559907834,30.84193548387097,6121878.141551458,5092.790783410138,28285.714439324118,576234.2665898618,661940.8331797236,293.15230414746543,308939.27019969275,1428.126651305683,0.0,23088.044470046083
2014,14012.126267281104,370217.0215821813,0.0,724.7479262672812,65571.97411674347,94451.2583717358,0.0,19977.44347158218,0.0,0.0,0.0,38283.473579109064,17.015668202764978,223314.16090629803,0.0,0.0,27884.315514592934,12732.781490015363,0.1290322580645161,10901.487096774197,0.0,0.0,0.0
2015,299225.23840245773,646946.3674347157,114.84347158218125,144617.86006144393,564768.1543010753,2155396.840066052,13343.571889400922,126764.70821812595,21.757757296466973,4608.494700460829,7714.49539170507,360283.838172043,1845.202995391705,6152251.301996928,3588.544470046083,46449.262749615984,520295.9244239632,777985.6631336404,256.20737327188937,243487.0256528418,78.25806451612904,0.0,0.0
2016,245574.041490545,576333.4971820541,393.5997404523544,144373.8835001854,500941.6494883204,1970995.4604375232,12040.542195031516,115351.12703003337,22.740415276232852,3586.5001112347054,103.1021505376344,322834.0729328884,2487.664145346681,5372403.819391918,3991.347682610307,42008.4057100482,442351.553804227,691207.4155728586,237.30700778642938,187142.95999258434,0.0,0.0,0.0
2017,221140.2978356375,537893.3368678954,871.836841781874,122863.47724731182,436153.5051474654,1983005.3509416282,10476.868296466972,169829.61912749615,17.849534562211982,3284.1979477726572,121.9348387096774,302438.86658678955,2928.059192012288,5086284.957086021,3184.30356374808,37556.86972350231,432397.25385253463,707435.119797235,469.57185867895544,191220.7173195084,0.0,0.0,0.0
2018,197146.76959907834,573612.99221659,2666.127241167435,124053.17516897077,408398.54871582176,2041288.359373272,8036.692059907834,275368.6648958357,10.89269124423963,2551.809265745008,18328.5605030722,289533.29091935477,1897.1498725038402,5057691.366529954,3088.766348694316,33449.209304147465,398714.23833087564,767832.7956628265,442.1955483870967,178178.80812288786,0.0,0.5358064516129032,0.0
2019,187229.82999999996,671537.1170000001,5516.549999999999,176311.75666666665,384205.05000000005,2043258.9626666666,6606.03,261196.1341935484,3.01,2361.75,30573.510000000002,283009.77999999997,1790.3599999999994,5336165.096999999,2804.4199999999996,23674.359999999997,346075.43,716218.465,418.6,151652.44999999998,0.0,0.0,0.0
2020,123044.21000000002,456556.95,4379.200000000001,130562.75000000001,238417.46,1133419.9100000001,2037.46,124875.60999999999,2.27,1145.86,3760.7799999999997,188608.5,2625.71,3247955.669999999,696.3299999999999,21123.37,151093.11000000002,423495.92999999993,235.27999999999997,100802.93,0.0,0.0,0.0
