Empresa,ecopetrol sa,mansarovar energy colombia ltd,occidental de colombia inc,parex resources colombia,lewis energy colombia,union temporal omega energy,cepsa colombia sa cepcolsa,equion energia ltd,perenco colombia limited,colombia energy development,dcx sas,hocol sa,emerald energy de colombia plc,petroleos sudamericanos,frontera energy,verano energy (barbados) limited,new granada energy co,canacol energy colombia sas,cne oil and gas sas,grupo c&c energia (barbados) sucursal colombia,interoil colombia exploration and production,las quinchas resource corp,oiru corporation,vetra exploracion y produccion colombia sas,geopark colombia pn sa,pacific stratus energy,tabasco oil company,gran tierra energy colombia ltd,petroleos del norte sa,union temporal midas,conocophillips colombia ventures limited,geoproduction oil & gas company,cinco ranch petroleum colombia inc sucursal colombia,ongc videsh limited,tecpetrol colombia sas,bc exploracion y produccion de hidrocarburos sl,hupecol llc,iberoamericana de hidrocarburos cq exploracion y produccion sas,wattle petroleum company sas,amerisur exploracion colombia,gas petroleo y derivados de colombia sas petrocolombia sas,petrosantander (colombia) inc,kappa resources colombia ltd,ecopetrol,sogomy energy,ecopetrol llanos,meta petroleum,alange energy,petrominerales colombia ltd,nikoil energy corp,cepsa colombia sa,p1 energy delta corp,well logging,petrotesting colombia sa,santa maria petroleum inc,sipetrol sa,union temporal moriche ( pacific stratus energy),exxon mobil,petropuli ltda,union temporal ii&b,compañia operadora petrocolombia sas copp,consorcio campos de produccion,turkish petroleum international company,maurel & prom colombia bv,panatlantic colombia ltd sucursal en colombia,ingenieria construcciones y equipos conequipos ing sas,comtrol colombia sa,omniaenergy inc sucursal colombia en reorganizacion,carrao energy sa sucursal colomiba,lagosur petroleum colombia inc sucursal colombia,tpl colombia ltd sucursal colombia,invepetrol limited colombia,petroleos colombianos sa,"suelopetrol, ca sucursal colombia",c&c energia,cepcolsa,petrobras colombia limited,union temporal mocan sas,petrolifera,omega energy colombia,drilling and workover services ltda,clean energy resources sa,mompos oil company inc,union temporal petrocaribe sa,nct energy group,copp sa,petrolco sa,union temporal moriche (pacific stratus energy),union temporal ijp,ut mocam
Noviembre_2013,347110.56666666665,39950.9,69030.23333333334,17963.6,1810.7666666666667,1143.6333333333332,0,37893.96666666666,19438.999999999996,812.8666666666666,0,21981.3,5418.400000000001,0,0,0,273517.1666666666,10731.3,0,0,2176.3666666666663,0,0,15629.8,11216.933333333334,3674.366666666667,0.7333333333333333,24048.999999999996,1506.2333333333331,2206.0,0,0.0,0,0.0,1856.1333333333337,0,6024.799999999999,0,0,6602.5,0,3653.566666666667,0,0,1317.7666666666662,0,0,10483.066666666668,20866.5,0,0,1161.3,1.166666666666667,0,0,0,0,0,0,0.0,0,47.4,0,1022.8,0,0,0,0,0,0,0,0,0,0,12682.733333333334,22725.23333333333,17154.666666666668,9.366666666666667,0.0,0.0,0.0,0.0,20.86666666666667,755.1333333333334,222.4,17.53333333333333,13.33333333333333,98.9,63.93333333333333,0
Diciembre_2013,350264.8387096774,39457.45161290323,61015.16129032259,18059.677419354834,2555.677419354839,1090.4516129032256,0,37039.225806451606,18491.74193548387,844.2903225806452,0,22807.548387096773,5500.032258064515,0,0,0,271078.1612903226,11355.935483870968,0,0,1592.903225806452,0,0,15591.645161290322,11618.032258064517,3651.387096774193,33.09677419354838,23372.516129032258,1377.4516129032259,2005.8064516129032,0,13.03225806451613,0,0.0,1812.645161290322,0,5195.322580645162,0,0,6405.741935483871,0,3738.7741935483873,0,0,879.3870967741935,0,0,11110.161290322583,22181.25806451612,0,0,1581.967741935484,0.8709677419354839,0,0,0,0,0,0,74.38709677419355,0,48.87096774193548,0,1324.5161290322578,0,0,0,0,0,0,0,0,0,0,12875.16129032258,23804.032258064515,17747.193548387095,9.903225806451612,0.0,0.0,0.0,0.0,18.87096774193548,500.8709677419355,217.4838709677419,17.19354838709678,11.90322580645161,109.64516129032263,60.51612903225806,0
Enero_2014,0,6637.612903225807,50668.032258064515,1192.9354838709678,0,53.38709677419355,0.0,0,1420.9354838709678,142.09677419354838,0,0,549.2903225806451,0,0,0,0,0,0,1270.032258064516,167.8064516129032,0,0,0,0.0,1316.161290322581,25.83870967741936,0,1485.096774193548,0,0,0,0,0,1627.032258064516,0,0,0,0,0,0,0,1127.7096774193549,23030.709677419352,56.29032258064516,98.3225806451613,3053.806451612903,299.6774193548387,3196.83870967742,903.7741935483871,0,872.0322580645161,0,0,0,0,0,0,0,47.64516129032258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230.258064516129,0,0.0,0,0,0,0,0,0,0,0,0,0,9.03225806451613
Febrero_2014,0,5847.214285714285,50728.46428571429,1325.8214285714284,0,52.75,0.0,0,1377.4285714285713,147.53571428571428,0,0,726.5357142857143,0,0,0,0,0,0,2007.7142857142853,163.99999999999997,0,0,0,0.0,1281.392857142857,31.75,0,354.5714285714286,0,0,0,0,0,1860.857142857143,0,0,0,0,0,0,0,1141.3571428571427,19282.678571428572,69.39285714285714,260.4642857142857,3104.321428571428,263.2857142857143,2806.964285714286,898.7857142857143,0,763.6785714285714,0,0,0,0,0,0,0,98.46428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292.5714285714286,0,1.428571428571429,0,0,0,0,0,0,0,0,0,0,11.0
Marzo_2014,0,5845.967741935484,28937.451612903227,1279.8709677419356,0,51.87096774193548,0.0,0,1207.3225806451615,141.16129032258064,0,0,931.2903225806452,0,0,0,0,0,0,1540.2903225806458,179.48387096774195,0,0,0,329.1935483870968,1273.870967741935,284.2903225806452,0,1511.838709677419,0,0,0,0,0,1831.935483870968,0,0,0,0,0,0,0,1122.1935483870973,24994.451612903227,88.48387096774194,429.2258064516129,3311.129032258064,224.7741935483871,2629.2258064516127,889.0,0,602.9677419354839,0,0,0,0,0,0,0,116.8709677419355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327.7741935483871,0,1.548387096774194,0,0,0,0,0,0,0,0,0,0,10.90322580645161
Abril_2014,0,5952.033333333334,670.7333333333333,2424.5333333333333,0,51.73333333333333,0.0,0,1224.6666666666665,139.89999999999998,0,0,990.8,0,0,0,0,0,0,1602.333333333333,173.30000000000004,0,0,0,678.5,1240.733333333333,155.9,0,2401.3,0,0,0,0,0,1548.1,0,0,0,0,0,0,0,1145.9333333333332,24276.13333333333,78.6,417.3666666666667,3549.766666666667,217.1333333333333,1899.8666666666666,878.2333333333333,0,550.2,0,0,0,0,0,0,0,113.1333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325.2,0,4.633333333333334,0,0,0,0,0,0,0,0,0,0,10.83333333333333
Mayo_2014,0,5618.967741935484,7422.967741935485,2064.8064516129025,0,50.61290322580645,8.903225806451612,0,1593.4838709677417,138.1290322580645,0,0,939.9677419354839,0,0,0,0,0,0,1448.1290322580642,160.0,0,0,0,539.0645161290323,1248.774193548387,159.3225806451613,0,2502.741935483871,0,0,0,0,0,1400.0,0,0,0,0,0,0,0,1105.7741935483873,24746.806451612905,74.0,420.8064516129032,3344.58064516129,220.4838709677419,2667.9354838709673,882.9677419354839,0,463.5483870967742,0,0,0,0,0,0,0,29.83870967741936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453.9354838709677,0,6.838709677419355,0,0,0,0,0,0,0,0,0,0,11.03225806451613
Junio_2014,0,5356.266666666666,51276.333333333336,1422.7,0,48.53333333333333,0.0,0,1997.1999999999998,129.93333333333334,0,0,1093.0666666666666,0,0,0,0,0,0,1393.4,158.23333333333335,0,0,0,399.9,1208.466666666667,153.5,0,2476.633333333333,0,0,0,0,0,1221.566666666667,0,0,0,0,0,0,0,1061.5333333333338,22601.63333333334,125.0333333333333,417.5666666666667,3415.966666666667,147.9666666666667,3105.9333333333334,900.9,0,510.20000000000005,0,0,0,0,0,0,0,57.36666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2.566666666666667,0,0,0,0,0,0,0,0,0,0,10.33333333333333
Julio_2014,0,6123.903225806452,33778.645161290326,1995.6129032258068,0,47.87096774193548,0.0,0,1660.838709677419,122.25806451612902,0,0,1019.258064516129,0,0,0,0,0,0,1315.4516129032259,152.00000000000006,0,0,0,419.516129032258,1083.58064516129,131.8387096774194,0,2290.483870967742,0,0,0,0,0,1094.903225806452,0,0,0,0,0,0,0,1046.2580645161295,23127.548387096773,109.9677419354839,402.8387096774193,2692.967741935484,151.4516129032258,3928.935483870967,884.0,0,360.22580645161287,0,0,0,0,0,0,0,80.41935483870968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
Agosto_2014,0,5764.193548387097,50287.70967741935,2000.58064516129,0,47.70967741935484,0.0,0,1730.4193548387095,103.90322580645162,0,0,997.5483870967741,0,0,0,0,0,0,1314.225806451613,149.09677419354836,0,0,0,388.0645161290323,1180.322580645161,114.0967741935484,0,1870.838709677419,0,0,0,0,0,998.6451612903226,0,0,0,0,0,0,0,1035.0322580645163,24697.677419354837,110.6774193548387,404.8709677419355,2328.032258064516,159.6129032258065,5899.935483870968,906.0,0,321.7741935483871,0,0,0,0,0,0,0,36.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
Septiembre_2014,0,5711.666666666667,47929.100000000006,2705.1333333333337,0,47.06666666666667,0.0,0,1529.8333333333335,113.43333333333334,0,0,956.8999999999999,0,0,0,0,0,0,1320.3333333333328,151.49999999999994,0,0,0,362.5333333333334,1117.9,113.6333333333333,0,2321.033333333333,0,0,0,0,0,988.6666666666666,0,0,0,0,0,0,0,1043.7666666666669,23403.03333333333,94.5,379.09999999999997,2849.2,124.3333333333333,5924.200000000001,915.5666666666667,0,257.1666666666667,0,0,0,0,0,0,0,67.76666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
Octubre_2014,0,6558.064516129032,46712.483870967735,4209.516129032258,0,46.74193548387097,0.0,0,1640.1290322580644,116.29032258064515,0,0,887.5483870967741,0,0,0,0,0,0,1182.3548387096773,145.87096774193543,0,0,0,346.7741935483871,1070.1612903225807,126.0645161290323,0,2666.225806451613,0,0,0,0,0,1112.967741935484,0,0,0,0,0,0,0,986.6129032258065,24609.064516129034,35.06451612903226,34.93548387096774,2911.258064516129,141.4516129032258,6347.5161290322585,951.4516129032259,0,266.4193548387097,0,0,0,0,0,0,0,71.93548387096774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
Noviembre_2014,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
Diciembre_2014,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
Enero_2015,0,41678.61290322581,65236.87096774194,13311.09677419355,350.3548387096774,1696.1935483870964,0,42937.54838709677,33321.290322580644,894.0967741935485,0,19066.29032258065,7275.516129032258,1322.870967741935,0,0.0,0,3648.129032258065,3660.7096774193546,10117.0,1814.7096774193546,0,0,6546.419354838711,22446.225806451617,3132.354838709677,219.6129032258065,23174.290322580648,6922.0,0,0,1.548387096774194,36.41935483870968,0.0,1372.4193548387098,0,3846.806451612903,0,0,5592.8709677419365,0,3066.0967741935483,897.5483870967743,220681.61290322576,1046.8064516129032,169561.77419354836,225996.0642903226,12832.258064516129,26157.25806451613,7537.1935483870975,22126.677419354837,8004.290322580645,1.258064516129032,13691.58064516129,223.6129032258065,312.6451612903226,717.0645161290322,937.258064516129,191.3548387096774,367.4193548387097,56.96774193548387,22.19354838709678,0.0,1474.967741935484,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
